Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,AIG,0,0,0,0,,,,,,,,,,-10.87,10.22,0.53,-7.57,45650000000.0,52.37,-22.1,15380000000.0,9060000000.0,-5040000000.0,-5.72,-56.1,23630000000.0,27.42,38240000000.0,59.18,0.75,73.86,2089999999.9999998,8170000000.0,1.38,37.57,32.26,6220000.0,861530000.0,860570000.0,0.05,92.09,14050000.0,2.2,1.63,12230000.0
0,0,AEO,0,0,0,0,3270000000.0,4440000000.0,7.1,13.89,,0.87,3.06,1.17,30.18,-5.5,-0.44,-0.3,-17.87,3780000000.0,22.69,-3.3,1520000000.0,147070000.0,-208050000.0,-1.25,-28.0,692360000.0,4.17,1860000000.0,174.51,1.69,6.43,226820000.0,43410000.0,1.41,17.18,13.6,5410000.0,166180000.0,137710000.0,6.98,122.48,25330000.0,4.07,19.3,30310000.0
0,0,IVZ,0,0,0,0,7850000000.0,18470000000.0,15.98,8.75,,1.26,0.79,2.95,13.84,11.67,22.08,2.34,4.97,6260000000.0,13.67,-13.0,2029999999.9999998,1580000000.0,493500000.0,1.07,8.4,1100000000.0,2.39,2510000000.0,17.2,8.27,21.6,1110000000.0,2880000000.0,1.36,16.07,12.31,6780000.0,459170000.0,338050000.0,1.64,93.57,27760000.0,5.47,7.4,32060000.000000004
0,0,TYC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,NI,0,0,0,0,8680000000.0,20120000000.0,49.48,16.78,3.68,1.78,1.91,4.13,25.91,-4.96,23.33,3.17,-4.28,4870000000.0,12.75,-3.1,2340000000.0,1800000000.0,-296400000.0,-0.78,,58600000.0,0.15,10830000000.0,199.71,0.82,11.86,1210000000.0,-1650000000.0,0.25,23.84,23.43,3190000.0,383210000.0,381620000.0,0.36,97.44,3770000.0,1.22,1.32,5040000.0
0,0,HTZ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BBY,0,0,0,0,26230000000.0,25270000000.0,15.51,13.74,1.39,0.59,6.42,0.56,7.92,3.79,5.26,7.84,47.9,45520000000.0,175.16,21.4,10050000000.0,3220000000.0,1730000000.0,6.56,33.4,5820000000.0,22.46,4730000000.0,115.71,1.12,15.84,5540000000.0,4380000000.0,1.57,111.65,103.52,2870000.0,258829999.99999997,231590000.0,11.4,80.84,5140000.0,1.5,2.53,5440000.0
0,0,KMX,0,0,0,0,15410000000.0,30530000000.0,22.53,16.89,1.64,0.85,3.87,1.66,25.06,3.54,4.84,2.85,18.17,19480000000.0,119.18,3.2,3180000000.0,1170000000.0,689760000.0,4.17,27.0,711560000.0,4.34,15830000000.0,397.52,2.71,24.26,778630000.0,509320000.0,1.78,94.4,96.32,1500000.0,164090000.0,163290000.0,0.32,100.51,9470000.0,8.9,6.51,9450000.0
0,0,IRM,0,0,0,0,,,,,,,,,,3.19,19.32,3.69,10.34,4170000000.0,14.48,-2.4,2430000000.0,1430000000.0,132979999.99999999,0.46,-64.3,151970000.0,0.53,11090000000.0,1107.94,0.6,3.25,945730000.0,514740000.0,0.81,27.47,27.89,3230000.0,288170000.0,285030000.0,0.99,86.05,53690000.0,12.7,25.73,50630000.0
0,0,COP,0,0,0,0,,,,,,,,,,-5.63,4.77,0.96,-3.45,21480000000.0,19.82,-45.1,16180000000.0,6330000000.0,-1210000000.0,-1.12,,7330000000.0,6.83,15390000000.0,49.99,2.38,28.7,6110000000.0,488000000.0,1.9,38.25,38.28,12170000.0,1070000000.0000001,1070000000.0000001,0.04,75.88,38770000.0,2.65,3.63,25830000.0
